route_id,service_id,trip_id,trip_headsign,block_id
116-125,JAN12-JANSA12-Saturday-12,20061402-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061403-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061404-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061405-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061406-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061407-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061408-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061409-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061410-JAN12-JANSA12-Saturday-12,"Greenboro",2568274
116-125,JAN12-JANSA12-Saturday-12,20061411-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061412-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061413-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061414-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061415-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061416-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061417-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061418-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061419-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061420-JAN12-JANSA12-Saturday-12,"Merivale",2568080
116-125,JAN12-JANSA12-Saturday-12,20061421-JAN12-JANSA12-Saturday-12,"Merivale",2568080
118-125,JAN12-JANSA12-Saturday-12,20061422-JAN12-JANSA12-Saturday-12,"Hurdman",2568242
118-125,JAN12-JANSA12-Saturday-12,20061423-JAN12-JANSA12-Saturday-12,"Hurdman",2568024
118-125,JAN12-JANSA12-Saturday-12,20061424-JAN12-JANSA12-Saturday-12,"Hurdman",2568024
118-125,JAN12-JANSA12-Saturday-12,20061425-JAN12-JANSA12-Saturday-12,"Hurdman",2568024
118-125,JAN12-JANSA12-Saturday-12,20061426-JAN12-JANSA12-Saturday-12,"Hurdman",2568156
118-125,JAN12-JANSA12-Saturday-12,20061427-JAN12-JANSA12-Saturday-12,"Hurdman",2568194
118-125,JAN12-JANSA12-Saturday-12,20061428-JAN12-JANSA12-Saturday-12,"Hurdman",2568246
118-125,JAN12-JANSA12-Saturday-12,20061429-JAN12-JANSA12-Saturday-12,"Kanata",2568309
118-125,JAN12-JANSA12-Saturday-12,20061430-JAN12-JANSA12-Saturday-12,"Kanata",2568024
118-125,JAN12-JANSA12-Saturday-12,20061431-JAN12-JANSA12-Saturday-12,"Kanata",2568024
118-125,JAN12-JANSA12-Saturday-12,20061432-JAN12-JANSA12-Saturday-12,"Kanata",2568024
118-125,JAN12-JANSA12-Saturday-12,20061433-JAN12-JANSA12-Saturday-12,"Kanata",2568246
118-125,JAN12-JANSA12-Saturday-12,20061434-JAN12-JANSA12-Saturday-12,"Kanata",2568075
118-125,JAN12-JANSA12-Saturday-12,20061435-JAN12-JANSA12-Saturday-12,"Hurdman",2568018
118-125,JAN12-JANSA12-Saturday-12,20061436-JAN12-JANSA12-Saturday-12,"Hurdman",2568194
118-125,JAN12-JANSA12-Saturday-12,20061437-JAN12-JANSA12-Saturday-12,"Hurdman",2568287
118-125,JAN12-JANSA12-Saturday-12,20061438-JAN12-JANSA12-Saturday-12,"Hurdman",2568156
118-125,JAN12-JANSA12-Saturday-12,20061439-JAN12-JANSA12-Saturday-12,"Hurdman",2568284
118-125,JAN12-JANSA12-Saturday-12,20061440-JAN12-JANSA12-Saturday-12,"Hurdman",2568122
118-125,JAN12-JANSA12-Saturday-12,20061441-JAN12-JANSA12-Saturday-12,"Kanata",2568163
118-125,JAN12-JANSA12-Saturday-12,20061442-JAN12-JANSA12-Saturday-12,"Kanata",2568194
118-125,JAN12-JANSA12-Saturday-12,20061443-JAN12-JANSA12-Saturday-12,"Kanata",2568287
118-125,JAN12-JANSA12-Saturday-12,20061444-JAN12-JANSA12-Saturday-12,"Kanata",2568156
118-125,JAN12-JANSA12-Saturday-12,20061445-JAN12-JANSA12-Saturday-12,"Kanata",2568284
118-125,JAN12-JANSA12-Saturday-12,20061446-JAN12-JANSA12-Saturday-12,"Kanata",2568027
118-125,JAN12-JANSA12-Saturday-12,20061447-JAN12-JANSA12-Saturday-12,"Hurdman",2568283
118-125,JAN12-JANSA12-Saturday-12,20061448-JAN12-JANSA12-Saturday-12,"Hurdman",2568283
118-125,JAN12-JANSA12-Saturday-12,20061449-JAN12-JANSA12-Saturday-12,"Hurdman",2568286
118-125,JAN12-JANSA12-Saturday-12,20061450-JAN12-JANSA12-Saturday-12,"Hurdman",2568131
118-125,JAN12-JANSA12-Saturday-12,20061451-JAN12-JANSA12-Saturday-12,"Hurdman",2568027
118-125,JAN12-JANSA12-Saturday-12,20061452-JAN12-JANSA12-Saturday-12,"Kanata",2568242
118-125,JAN12-JANSA12-Saturday-12,20061453-JAN12-JANSA12-Saturday-12,"Kanata",2568283
118-125,JAN12-JANSA12-Saturday-12,20061454-JAN12-JANSA12-Saturday-12,"Kanata",2568284
118-125,JAN12-JANSA12-Saturday-12,20061455-JAN12-JANSA12-Saturday-12,"Kanata",2568131
118-125,JAN12-JANSA12-Saturday-12,20061456-JAN12-JANSA12-Saturday-12,"Kanata",2568246
118-125,JAN12-JANSA12-Saturday-12,20061457-JAN12-JANSA12-Saturday-12,"Hurdman",2568122
118-125,JAN12-JANSA12-Saturday-12,20061458-JAN12-JANSA12-Saturday-12,"Hurdman",2568156
118-125,JAN12-JANSA12-Saturday-12,20061459-JAN12-JANSA12-Saturday-12,"Hurdman",2568156
118-125,JAN12-JANSA12-Saturday-12,20061460-JAN12-JANSA12-Saturday-12,"Hurdman",2568299
118-125,JAN12-JANSA12-Saturday-12,20061461-JAN12-JANSA12-Saturday-12,"Hurdman",2568299
118-125,JAN12-JANSA12-Saturday-12,20061462-JAN12-JANSA12-Saturday-12,"Hurdman",2568024
118-125,JAN12-JANSA12-Saturday-12,20061463-JAN12-JANSA12-Saturday-12,"Hurdman",2568282
118-125,JAN12-JANSA12-Saturday-12,20061464-JAN12-JANSA12-Saturday-12,"Kanata",2568156
118-125,JAN12-JANSA12-Saturday-12,20061465-JAN12-JANSA12-Saturday-12,"Kanata",2568156
118-125,JAN12-JANSA12-Saturday-12,20061466-JAN12-JANSA12-Saturday-12,"Kanata",2568156
118-125,JAN12-JANSA12-Saturday-12,20061467-JAN12-JANSA12-Saturday-12,"Kanata",2568299
118-125,JAN12-JANSA12-Saturday-12,20061468-JAN12-JANSA12-Saturday-12,"Kanata",2568286
118-125,JAN12-JANSA12-Saturday-12,20061469-JAN12-JANSA12-Saturday-12,"Kanata",2568309
118-125,JAN12-JANSA12-Saturday-12,20061470-JAN12-JANSA12-Saturday-12,"Kanata",2568194
118-125,JAN12-JANSA12-Saturday-12,20061471-JAN12-JANSA12-Saturday-12,"Hurdman",2568194
118-125,JAN12-JANSA12-Saturday-12,20061472-JAN12-JANSA12-Saturday-12,"Hurdman",2568024
